"","FIPS","NAMELSAD"
"59","02198","Prince of Wales-Hyder Census Area"
"62","02164","Lake and Peninsula Borough"
"273","02195","Petersburg Borough"
"371","02100","Haines Borough"
"375","02122","Kenai Peninsula Borough"
"376","02150","Kodiak Island Borough"
"489","02180","Nome Census Area"
"509","02158","Kusilvak Census Area"
"550","02290","Yukon-Koyukuk Census Area"
"580","02130","Ketchikan Gateway Borough"
"641","02063","Chugach Census Area"
"675","02185","North Slope Borough"
"724","02013","Aleutians East Borough"
"733","02105","Hoonah-Angoon Census Area"
"903","02050","Bethel Census Area"
"929","02275","Wrangell City and Borough"
"960","02230","Skagway Municipality"
"1014","02188","Northwest Arctic Borough"
"1043","02240","Southeast Fairbanks Census Area"
"1166","02068","Denali Borough"
"1361","02016","Aleutians West Census Area"
"1395","02070","Dillingham Census Area"
"1416","02110","Juneau City and Borough"
"2285","02066","Copper River Census Area"
"2519","02090","Fairbanks North Star Borough"
"2602","02282","Yakutat City and Borough"
"2735","02060","Bristol Bay Borough"
"2864","02020","Anchorage Municipality"
"2926","02220","Sitka City and Borough"
"2996","02170","Matanuska-Susitna Borough"
