"FIPS","County","State","caShort"
"72085","Las Piedras","Puerto Rico","upr"
"72115","Quebradillas","Puerto Rico","upr"
"72105","Naranjito","Puerto Rico","upr"
"72053","Fajardo","Puerto Rico","upr"
"72151","Yabucoa","Puerto Rico","upr"
"72067","Hormigueros","Puerto Rico","upr"
"72127","San Juan","Puerto Rico","upr"
"72049","Culebra","Puerto Rico","upr"
"72051","Dorado","Puerto Rico","upr"
"72121","Sabana Grande","Puerto Rico","upr"
"72039","Ciales","Puerto Rico","upr"
"72133","Santa Isabel","Puerto Rico","upr"
"72139","Trujillo Alto","Puerto Rico","upr"
"72073","Jayuya","Puerto Rico","upr"
"72097","Mayagüez","Puerto Rico","upr"
"72029","Canóvanas","Puerto Rico","upr"
"72123","Salinas","Puerto Rico","upr"
"72103","Naguabo","Puerto Rico","upr"
"72003","Aguada","Puerto Rico","upr"
"72043","Coamo","Puerto Rico","upr"
"72055","Guánica","Puerto Rico","upr"
"72019","Barranquitas","Puerto Rico","upr"
"72081","Lares","Puerto Rico","upr"
"72153","Yauco","Puerto Rico","upr"
"72001","Adjuntas","Puerto Rico","upr"
"72093","Maricao","Puerto Rico","upr"
"72005","Aguadilla","Puerto Rico","upr"
"72009","Aibonito","Puerto Rico","upr"
"72111","Peñuelas","Puerto Rico","upr"
"72113","Ponce","Puerto Rico","upr"
"72021","Bayamón","Puerto Rico","upr"
"72117","Rincón","Puerto Rico","upr"
"72145","Vega Baja","Puerto Rico","upr"
"72023","Cabo Rojo","Puerto Rico","upr"
"72069","Humacao","Puerto Rico","upr"
"72077","Juncos","Puerto Rico","upr"
"72037","Ceiba","Puerto Rico","upr"
"72047","Corozal","Puerto Rico","upr"
"72099","Moca","Puerto Rico","upr"
"72107","Orocovis","Puerto Rico","upr"
"72129","San Lorenzo","Puerto Rico","upr"
"72135","Toa Alta","Puerto Rico","upr"
"72095","Maunabo","Puerto Rico","upr"
"72109","Patillas","Puerto Rico","upr"
"72091","Manatí","Puerto Rico","upr"
"72147","Vieques","Puerto Rico","upr"
"72087","Loíza","Puerto Rico","upr"
"72011","Añasco","Puerto Rico","upr"
"72041","Cidra","Puerto Rico","upr"
"72063","Gurabo","Puerto Rico","upr"
"72065","Hatillo","Puerto Rico","upr"
"72057","Guayama","Puerto Rico","upr"
"72143","Vega Alta","Puerto Rico","upr"
"72137","Toa Baja","Puerto Rico","upr"
"72141","Utuado","Puerto Rico","upr"
"72013","Arecibo","Puerto Rico","upr"
"72149","Villalba","Puerto Rico","upr"
"72061","Guaynabo","Puerto Rico","upr"
"72017","Barceloneta","Puerto Rico","upr"
"72035","Cayey","Puerto Rico","upr"
"72015","Arroyo","Puerto Rico","upr"
"72125","San Germán","Puerto Rico","upr"
"72031","Carolina","Puerto Rico","upr"
"72071","Isabela","Puerto Rico","upr"
"72054","Florida","Puerto Rico","upr"
"72079","Lajas","Puerto Rico","upr"
"72025","Caguas","Puerto Rico","upr"
"72027","Camuy","Puerto Rico","upr"
"72119","Río Grande","Puerto Rico","upr"
"72075","Juana Díaz","Puerto Rico","upr"
"72045","Comerío","Puerto Rico","upr"
"72007","Aguas Buenas","Puerto Rico","upr"
"72033","Cataño","Puerto Rico","upr"
"72101","Morovis","Puerto Rico","upr"
"72083","Las Marías","Puerto Rico","upr"
"72059","Guayanilla","Puerto Rico","upr"
"72131","San Sebastián","Puerto Rico","upr"
"72089","Luquillo","Puerto Rico","upr"
